Source,Target,Type,Kind,Id,Label,Weight,travelTime1,travelTime2,travelTime3,travelTime4,travelTime5
66,67,Directed,2,201,131,1,6,6,6,6,6
52,53,Directed,1,71,1,1,8,9,10,8,9
53,52,Directed,1,72,2,1,8,9,10,8,9
53,54,Directed,1,73,3,1,8,9,10,8,9
54,55,Directed,1,74,4,1,8,9,10,8,9
55,56,Directed,1,75,5,1,8,9,10,8,9
56,57,Directed,1,76,6,1,8,9,10,8,9
57,58,Directed,1,77,7,1,8,9,10,8,9
58,60,Directed,1,78,8,1,8,9,10,8,9
58,61,Directed,1,79,9,1,8,9,10,8,9
61,62,Directed,1,80,10,1,8,9,10,8,9
62,63,Directed,1,81,11,1,8,9,10,8,9
63,59,Directed,1,82,12,1,8,9,10,8,9
59,63,Directed,1,83,13,1,8,9,10,8,9
63,62,Directed,1,84,14,1,8,9,10,8,9
62,61,Directed,1,85,15,1,8,9,10,8,9
61,58,Directed,1,86,16,1,8,9,10,8,9
60,58,Directed,1,87,17,1,8,9,10,8,9
58,57,Directed,1,88,18,1,8,9,10,8,9
57,56,Directed,1,89,19,1,8,9,10,8,9
56,55,Directed,1,90,20,1,8,9,10,8,9
55,54,Directed,1,91,21,1,8,9,10,8,9
54,53,Directed,1,92,22,1,8,9,10,8,9
68,67,Directed,2,93,23,1,6,6,6,6,6
67,66,Directed,2,94,24,1,6,6,6,6,6
67,68,Directed,2,95,25,1,6,6,6,6,6
66,65,Directed,2,96,26,1,6,6,6,6,6
65,66,Directed,2,97,27,1,6,6,6,6,6
65,64,Directed,2,98,28,1,6,6,6,6,6
64,65,Directed,2,99,29,1,6,6,6,6,6
69,70,Directed,3,100,30,1,10,10,10,10,10
70,71,Directed,3,101,31,1,10,10,10,10,10
70,69,Directed,3,102,32,1,10,10,10,10,10
71,70,Directed,3,103,33,1,10,10,10,10,10
72,73,Directed,4,104,34,1,12,12,12,12,12
72,74,Directed,4,105,35,1,36,36,36,36,36
72,75,Directed,4,106,36,1,80,80,80,80,80
72,76,Directed,4,107,37,1,80,80,80,80,80
72,77,Directed,4,108,38,1,80,80,80,80,80
