Source,Target,Type,Kind,Id,Label,Weight,length
0,1,Directed,2,0,0,1,1500
1,2,Directed,2,1,1,1,925
2,3,Directed,2,2,2,1,910
3,4,Directed,2,3,3,1,1200
4,5,Directed,2,4,4,1,747
5,4,Directed,2,5,5,1,747
4,3,Directed,2,6,6,1,1200
3,2,Directed,2,7,7,1,910
2,1,Directed,2,8,8,1,925
1,0,Directed,2,9,9,1,1500
6,7,Directed,3,10,10,1,2200
7,8,Directed,3,11,11,1,1600
8,9,Directed,3,12,12,1,2000
9,10,Directed,3,13,13,1,3400
10,9,Directed,3,14,14,1,3400
9,8,Directed,3,15,15,1,2000
8,7,Directed,3,16,16,1,1600
7,6,Directed,3,17,17,1,2200
11,12,Directed,1,18,18,1,1300
12,13,Directed,1,19,19,1,570
13,14,Directed,1,20,20,1,740
14,15,Directed,1,21,21,1,350
15,16,Directed,1,22,22,1,330
16,17,Directed,1,23,23,1,630
17,18,Directed,1,24,24,1,850
18,19,Directed,1,25,25,1,500
19,20,Directed,1,26,26,1,650
20,19,Directed,1,27,27,1,650
19,18,Directed,1,28,28,1,500
18,17,Directed,1,29,29,1,850
17,16,Directed,1,30,30,1,630
16,15,Directed,1,31,31,1,330
15,14,Directed,1,32,32,1,350
14,13,Directed,1,33,33,1,740
13,12,Directed,1,34,34,1,570
12,11,Directed,1,35,35,1,1300
11,21,Directed,1,36,36,1,1300
21,13,Directed,1,37,37,1,1700
13,22,Directed,1,38,38,1,723
22,23,Directed,1,39,39,1,500
23,24,Directed,1,40,40,1,620
24,25,Directed,1,41,41,1,860
25,26,Directed,1,42,42,1,290
26,27,Directed,1,43,43,1,770
27,26,Directed,1,44,44,1,770
26,25,Directed,1,45,45,1,290
25,24,Directed,1,46,46,1,860
24,23,Directed,1,47,47,1,620
23,22,Directed,1,48,48,1,500
22,13,Directed,1,49,49,1,723
13,21,Directed,1,50,50,1,1700
21,11,Directed,1,51,51,1,1300
28,20,Directed,1,52,52,1,940
20,29,Directed,1,53,53,1,1300
29,30,Directed,1,54,54,1,500
30,31,Directed,1,55,55,1,300
31,32,Directed,1,56,56,1,350
32,33,Directed,1,57,57,1,370
33,25,Directed,1,58,58,1,920
33,24,Directed,1,59,59,1,670
24,33,Directed,1,60,60,1,670
25,33,Directed,1,61,61,1,920
33,32,Directed,1,62,62,1,370
32,31,Directed,1,63,63,1,350
31,30,Directed,1,64,64,1,300
30,29,Directed,1,65,65,1,500
29,20,Directed,1,66,66,1,1300
20,28,Directed,1,67,67,1,940
34,35,Directed,1,68,68,1,1200
35,36,Directed,1,69,69,1,710
36,35,Directed,1,70,70,1,710
35,34,Directed,1,71,71,1,1200
36,12,Directed,1,72,72,1,430
12,36,Directed,1,73,73,1,430
21,36,Directed,1,74,74,1,2300
36,21,Directed,1,75,75,1,2300
36,13,Directed,1,76,76,1,566
13,36,Directed,1,77,77,1,566
22,37,Directed,1,78,78,1,590
37,22,Directed,1,79,79,1,590
37,38,Directed,1,80,80,1,1200
38,37,Directed,1,81,81,1,1200
38,4,Directed,1,82,82,1,1300
4,38,Directed,1,83,83,1,1300
4,25,Directed,1,84,84,1,370
25,4,Directed,1,85,85,1,370
28,0,Directed,1,86,86,1,964
0,28,Directed,1,87,87,1,964
1,35,Directed,1,88,88,1,803
35,1,Directed,1,89,89,1,803
35,17,Directed,1,90,90,1,730
17,35,Directed,1,91,91,1,730
17,39,Directed,1,92,92,1,800
39,17,Directed,1,93,93,1,800
39,33,Directed,1,94,94,1,780
33,39,Directed,1,98,98,1,780
24,39,Directed,1,96,96,1,1200
39,24,Directed,1,97,97,1,1200
40,39,Directed,1,99,99,1,870
39,40,Directed,1,100,100,1,870
33,40,Directed,1,101,101,1,300
40,33,Directed,1,102,102,1,300
40,24,Directed,1,103,103,1,770
24,40,Directed,1,104,104,1,770
41,40,Directed,1,105,105,1,530
40,41,Directed,1,106,106,1,530
42,41,Directed,1,107,107,1,720
41,42,Directed,1,108,108,1,720
43,22,Directed,1,109,109,1,4200
22,43,Directed,1,110,110,1,4200
25,44,Directed,1,111,111,1,340
44,25,Directed,1,112,112,1,340
44,40,Directed,1,113,113,1,590
40,44,Directed,1,114,114,1,590
45,44,Directed,1,115,115,1,950
44,45,Directed,1,116,116,1,950
45,46,Directed,1,117,117,1,800
46,45,Directed,1,118,118,1,800
46,47,Directed,1,119,119,1,730
47,46,Directed,1,120,120,1,730
47,6,Directed,5,121,121,1,100
6,47,Directed,5,122,122,1,100
7,32,Directed,5,123,123,1,100
32,7,Directed,5,124,124,1,100
15,8,Directed,5,125,125,1,100
8,15,Directed,5,126,126,1,100
19,29,Directed,1,127,127,1,1700
29,19,Directed,1,128,128,1,1700
35,18,Directed,1,129,129,1,370
18,35,Directed,1,130,130,1,370
16,39,Directed,1,131,131,1,490
39,16,Directed,1,132,132,1,490
15,3,Directed,1,133,133,1,350
3,15,Directed,1,134,134,1,350
3,24,Directed,1,135,135,1,680
24,3,Directed,1,136,136,1,680
23,3,Directed,1,137,137,1,840
3,23,Directed,1,138,138,1,840
32,45,Directed,1,140,140,1,1300
45,32,Directed,1,141,141,1,1300
44,41,Directed,1,142,142,1,490
41,44,Directed,1,143,143,1,490
44,26,Directed,1,144,144,1,370
26,44,Directed,1,145,145,1,370
31,17,Directed,1,146,146,1,1800
17,31,Directed,1,147,147,1,1800
23,37,Directed,1,148,148,1,390
37,23,Directed,1,149,149,1,390
14,22,Directed,1,150,150,1,500
22,14,Directed,1,151,151,1,500
5,27,Directed,1,155,155,1,730
27,5,Directed,1,154,154,1,730
27,42,Directed,1,156,156,1,470
42,27,Directed,1,157,157,1,470
1,36,Directed,1,158,158,1,538
