Id,Label,type,name
0,0,2,国际商贸城客运中心
1,1,2,国际商贸城3区
2,2,2,国际商贸城2区
3,3,2,国际商贸城1区
4,4,2,稠州路宗泽路口
5,5,2,稠州路宾王路口
6,6,3,春晗
7,7,3,秦塘
8,8,3,国际商贸城
9,9,3,浙医四院
10,10,3,江东
11,11,1,国际商贸城5区
12,12,1,国际贸易服务中心
13,13,1,国际商贸城二区（东）
14,14,1,国际商贸城一区（北）
15,15,1,轨交商贸城站B口
16,16,1,福田小学
17,17,1,福田小学（北）
18,18,1,义乌港（东）
19,19,1,义乌港（南）
20,20,1,植物园
21,21,1,国际商贸城5区（北）
22,22,1,国际商贸城1区（东）
23,23,1,国际商贸城1区南大门
24,24,1,金茂大厦
25,25,1,宾王中学
26,26,1,曲苑小区
27,27,1,稠州医院
28,28,1,义乌港
29,29,1,水务集团
30,30,1,省机电技师学院
31,31,1,第三人民医院
32,32,1,轨交秦塘站
33,33,1,福田寺站
34,34,1,陶界岭
35,35,1,福田三区
36,36,1,国际商贸城二区（北）
37,37,1,兴中
38,38,1,交通大厦
39,39,1,长春
40,40,1,阳光小区
41,41,1,秦塘小区
42,42,1,孝子祠公园
43,43,1,青口
44,44,1,词林公园
45,45,1,省机电学院（南）
46,46,1,电力大楼
47,47,1,轨交春晗站
48,48,5,
49,49,5,
50,50,5,
51,51,5,
52,52,5,
53,53,5,
54,54,5,
55,55,5,
56,56,5,
57,57,5,
58,58,5,
59,59,5,
60,60,5,
61,61,5,
62,62,5,
63,63,5,
64,64,5,
65,65,5,
66,66,5,
67,67,5,
68,68,5,
69,69,5,
70,70,4,
71,71,4,
72,72,4,
73,73,4,
74,74,4,
75,75,4,
76,76,4,
77,77,4,
78,78,4,
79,79,4,
