O,D,demand
51,56,5
62,66,5
62,61,5
68,58,5
59,48,5
67,52,5
49,62,6
59,65,6
57,62,6
64,66,6
55,57,6
61,62,6
57,53,6
65,61,6
66,61,6
68,57,6
67,54,6
64,51,6
49,68,7
52,61,7
56,65,7
48,56,7
50,57,7
55,62,7
54,60,7
53,58,7
51,54,7
52,53,7
55,56,7
66,67,7
58,59,7
63,59,7
62,58,7
67,60,7
65,57,7
68,59,7
57,48,7
68,58,7
67,48,7
50,68,8
61,67,8
53,59,8
62,68,8
48,54,8
64,69,8
51,56,8
67,64,8
63,60,8
57,52,8
58,51,8
69,60,8
63,54,8
64,52,8
64,50,8
64,48,8
50,59,9
51,60,9
61,68,9
50,56,9
52,57,9
64,69,9
52,53,9
57,54,9
53,48,9
66,60,9
58,52,9
58,50,9
64,54,9
65,50,9
69,53,9
49,65,10
54,67,10
53,62,10
55,60,10
66,69,10
65,58,10
59,52,10
64,55,10
67,57,10
64,54,10
67,48,10
49,62,11
48,59,11
52,57,11
54,57,11
67,69,11
52,51,11
65,61,11
65,60,11
53,48,11
66,61,11
58,52,11
61,53,11
63,55,11
68,58,11
48,69,12
49,69,12
48,67,12
52,61,12
49,57,12
51,57,12
62,68,12
50,56,12
62,68,12
65,68,12
63,66,12
51,52,12
54,50,12
55,48,12
69,61,12
59,51,12
59,49,12
68,57,12
60,49,12
49,67,13
48,58,13
53,63,13
57,55,13
69,63,13
67,51,13
69,51,13
50,66,14
55,66,14
57,62,14
62,65,14
55,56,14
67,62,14
58,49,14
68,54,14
52,67,15
57,69,15
52,63,15
58,68,15
52,59,15
52,58,15
49,54,15
56,60,15
55,58,15
61,64,15
60,62,15
52,48,15
64,59,15
56,50,15
55,49,15
61,53,15
60,50,15
